reqMacDelay, replyQueing, respTxDelay, dpTxDelay, undpTxDelay, respWireDelay, respMacDelay, latency
79, 34, 366, 356, 222, 134, 68, 44, 903
70, 42, 362, 359, 222, 137, 68, 43, 901
78, 36, 367, 361, 221, 140, 68, 42, 910
72, 38, 365, 360, 222, 138, 68, 40, 903
78, 41, 359, 358, 221, 137, 70, 42, 906
72, 42, 358, 362, 223, 139, 70, 40, 904
73, 35, 366, 357, 222, 135, 72, 41, 903
76, 40, 359, 353, 222, 131, 71, 43, 899
70, 39, 365, 356, 222, 134, 74, 38, 904
74, 41, 359, 363, 223, 140, 65, 43, 902
71, 40, 362, 358, 221, 137, 70, 38, 901
70, 37, 366, 358, 223, 135, 71, 40, 902
74, 38, 362, 361, 223, 138, 71, 44, 906
78, 40, 363, 354, 221, 133, 70, 47, 905
74, 38, 365, 359, 223, 136, 70, 42, 906
75, 38, 363, 362, 223, 139, 67, 42, 905
76, 37, 363, 362, 223, 139, 66, 40, 904
78, 38, 365, 359, 222, 137, 67, 39, 907
74, 40, 363, 361, 222, 139, 66, 44, 904
73, 36, 365, 363, 222, 141, 64, 44, 901
74, 42, 358, 360, 222, 138, 70, 41, 904
71, 37, 362, 363, 222, 141, 64, 41, 897
75, 40, 359, 364, 222, 142, 66, 40, 904
74, 40, 360, 361, 221, 140, 64, 42, 899
76, 41, 359, 360, 223, 137, 67, 40, 903
72, 36, 366, 361, 221, 140, 65, 38, 900
71, 37, 366, 359, 222, 137, 67, 41, 900
75, 36, 365, 356, 222, 134, 71, 44, 903
70, 41, 362, 361, 223, 138, 65, 44, 899
76, 36, 366, 358, 223, 135, 72, 41, 908
70, 37, 363, 360, 222, 138, 67, 44, 897
71, 39, 362, 361, 222, 139, 67, 42, 900
75, 37, 365, 361, 222, 139, 67, 40, 905
80, 37, 358, 360, 222, 138, 68, 40, 903
75, 39, 367, 355, 221, 134, 72, 40, 908
74, 37, 366, 354, 222, 132, 72, 44, 903
71, 35, 366, 361, 223, 138, 71, 39, 904
78, 38, 359, 354, 222, 132, 70, 43, 899
75, 39, 363, 358, 222, 136, 68, 41, 903
74, 37, 361, 360, 223, 137, 68, 43, 900
73, 37, 363, 362, 222, 140, 64, 41, 899
79, 39, 362, 361, 222, 139, 69, 43, 910
71, 42, 358, 357, 222, 135, 74, 40, 902
71, 37, 365, 361, 222, 139, 66, 38, 900
73, 38, 365, 359, 223, 136, 67, 38, 902
75, 39, 362, 360, 223, 137, 71, 44, 907
74, 35, 365, 360, 223, 137, 71, 41, 905
72, 43, 359, 363, 222, 141, 65, 42, 902
78, 37, 365, 355, 221, 134, 71, 45, 906
72, 39, 363, 358, 222, 136, 72, 37, 904
71, 39, 361, 361, 223, 138, 67, 39, 899
77, 39, 366, 363, 223, 140, 64, 40, 909
